uid,title,description,url,audio_url,collection,vendor,vendor_identifier,notes
080108_EdGavagan_GolfClubbing_MRH901,Golf Clubbing,Ed Gavagan,,https://themoth.box.com/s/z438weq4h4v16vv3stb4zyn3ks9h3ieo,audio-library-for-web,pop_up_archive,50455,
080122_BokaraLegendre_TheMagicBus_POD,The Magic Bus,Bokara Legendre,,https://themoth.box.com/s/w44f79q197wflgo3a0d96w7a4gaygw6r,audio-library-for-web,pop_up_archive,50457,
080122_RichardPrice_Bicycle SafetyOnEssex_MRH1005,Bicycle Safety On Essex,Richard Price,,https://themoth.box.com/s/9b37d4zl6p0wfu50oz2ij85ciwzxnali,audio-library-for-web,pop_up_archive,50458,
080223_PaulCarter_MeAndJoe_MRH1408,Me And Joe,Paul Carter,,https://themoth.box.com/s/sh68qegeswi5m92q21h5jwuebbwc,audio-library-for-web,pop_up_archive,50459,
130514_AdamGopnik_ThePietiesOfPersperation_MRH1407,The Pieties Of Persperation,Adam Gopnik,,https://themoth.box.com/s/7riwdowgc1wg1bstrk956afuz66a4f97,audio-library-for-web,pop_up_archive,50874,
130516_KimWatsonBrooks_TheTelephoneCall_MRH1404,The Telephone Call,Kim Watson Brooks,,https://themoth.box.com/s/5ob6iycfecbjoh6ptskaynlrfuwshwx3,audio-library-for-web,pop_up_archive,50875,
130520_CharlesFatone_JustOneDrink_MRH1402,Just One Drink,Charles Fatone,,https://themoth.box.com/s/ifg349koj4rjzetvfovtol6skliegnf1,audio-library-for-web,pop_up_archive,50876,
130520_LydiaVelez_Fearless_MRH1403,Fearless,Lydia Velez,,https://themoth.box.com/s/13pl4bhep3gxazq14wf145tsme8yt30z,audio-library-for-web,pop_up_archive,50877,
130521_MatthewDicks_FreeLunch_POD350,Free Lunch,Matthew Dicks,,https://themoth.box.com/s/7xgnk16h8q3fj8qxu9d8jfqhny9ewdzs,audio-library-for-web,pop_up_archive,50878,
130522_ShannonCason_ItsLikeBorrowing_MRH1415,It's Like Borrowing,Shannon Cason,,https://themoth.box.com/s/zjga3dx207kxsc6u9oq9u7pqj4xkz5vi,audio-library-for-web,pop_up_archive,50879,
130528_AlanaKinarsky_SnowWhiteInAFurCoat_MRH1515,Snow White In A Fur Coat,Alana Kinarsky,,https://themoth.box.com/s/ufff5x9w36gffw40kz5ghpz82ckanc2c,audio-library-for-web,pop_up_archive,50880,
130528_BrianBabylon_SummerJob_HostStoryChicagoBusted_POD398,Summer Job,Brian Babylon,,https://themoth.box.com/s/p1m8txaj0sduuaqk0ya08ulfwdawcs7f,audio-library-for-web,pop_up_archive,50881,
130529_EveEngel_FirstKiss_MRH1410,First Kiss,Eve Engel,,https://themoth.box.com/s/0ay8cr932f2q2kuprisxfxvv72hf5pk6,audio-library-for-web,pop_up_archive,50883,
130601_ChristofKoch_GodDeathAndFrancisCrick_MRH1415,"God, Death And Francis Crick",Christof Koch,,https://themoth.box.com/s/cnnxc6ogiwgnemsn3h7fmp3qkelcdzwu,audio-library-for-web,pop_up_archive,50884,
130601_RichardMatthew_RiskInPerspective_MRH1513,Risk In Perspective,Richard Matthew,,https://themoth.box.com/s/peicor1vrudtvle7nw93flqillxrve9i,audio-library-for-web,pop_up_archive,50885,
130606_FrederickHauck_ReflectionsFromSpace_MRH1501,Reflections From Space,Frederick Hauck,,https://themoth.box.com/s/affbmah2hlq31rjgnpmwjqy0k1jfhhh4,audio-library-for-web,pop_up_archive,50886,
130606_MelissaColeman_DreamHome_MRH1501,Dream Home,Melissa Coleman,,https://themoth.box.com/s/7xp2h8kwxbkxypm30u0prhmfna6kebxb,audio-library-for-web,pop_up_archive,50889,
130606_PaulKnoll_800Heroes_MRH1501,800 Heroes,Paul Knoll,,https://themoth.box.com/s/9j8ww95nj8k6gumsej691s62ol0evs7l,audio-library-for-web,pop_up_archive,50891,
130619_AnthonyGriffith_TheMagician_MRH1512,The Magician,Anthony Griffith,,https://themoth.box.com/s/u0uuanbezx2bmuusxrc4mqdsvgky1308,audio-library-for-web,pop_up_archive,50892,
130619_ThomBeers_ShotThroughTheHeart_YoutubeAudio,Shot Through The Heart,Thom Beers,,https://themoth.box.com/s/w2p077691bas53jydy0m9vdt286v41f6,audio-library-for-web,pop_up_archive,50893,
130627_LilyBe_LasDonasOfHumboldtPark_MRH1414,Las Doñas Of Humboldt Park,Lily Be,,https://themoth.box.com/s/xh7207hdlodf65aej6362x4ona407eip,audio-library-for-web,pop_up_archive,50894,
130710_ArthurBradford_TheQuestForChad_MRH1424,The Quest For Chad,Arthur Bradford,,https://themoth.box.com/s/7skez2b8fu5lgu0exzcbavssfornizlt,audio-library-for-web,pop_up_archive,50895,
130710_GrahamShelby_TheManOnTV_MRH1414,The Man On TV,Graham Shelby,,https://themoth.box.com/s/rau9r91f25nfkvcbwyikywwhxbwjyg7m,audio-library-for-web,pop_up_archive,50896,
130710_IsaiahOwens_Homegoings_MRH1418,Homegoings,Isaiah Owens,,https://themoth.box.com/s/03qp3eeirpfm3cfgizfxzmd48wgf8c,audio-library-for-web,pop_up_archive,50852,
130717_SteveZimmer_TheCaseOfThePencilCase_MRH1410,The Case Of The Pencil Case,Steve Zimmer,,https://themoth.box.com/s/4n7bpk7efbk3g7sy2024vnbauprxldbq,audio-library-for-web,pop_up_archive,50853,
130801_IjeomaOluo_TheExplorers_POD378,The Explorers,Ijeoma Oluo,,https://themoth.box.com/s/yeabt3ommcu83dt0vbl7nncx4e29cvrq,audio-library-for-web,pop_up_archive,50854,
130803_BillEville_TheStrangestPartOfAll_MRH1406,The Strangest Part Of All,Bill Eville,,https://themoth.box.com/s/xflv4xz9kl25dmyofdvuocafr9m3k57o,audio-library-for-web,pop_up_archive,50855,
130803_BuddyVanderhoop_DeadInTheWater_MRH1406,Dead In The Water,Buddy Vanderhoop,,https://themoth.box.com/s/nl3ngn9n1ckz19s6zqbcgk8rdxvu9r32,audio-library-for-web,pop_up_archive,50856,
130803_JennyAllen_ICantGetItOutOfMyMind_MRH1406,I Can't Get It Out Of My Mind,Jenny Allen,,https://themoth.box.com/s/er5o3dxu2w0f9ybljbrqud4nlatvwl83,audio-library-for-web,pop_up_archive,50857,
